,,Andaman and Nicobar Islands,,Andhra Pradesh,,Arunachal Pradesh,,Assam,,Bihar,,Chandigarh,,Chhattisgarh,,Dadra & Nagar Haveli,,Delhi,,Goa,,Gujarat,,Haryana,,Himachal Pradesh,,Jammu and Kashmir,,Jharkhand,,Karnataka,,Kerala,,Ladakh,,Lakshwadeep,,Madhya Pradesh,,Maharashtra,,Manipur,,Meghalaya,,Mizoram,,Nagaland,,Odisha,,Puducherry,,Punjab,,Rajasthan,,Sikkim,,Tamil Nadu,,Telanagana,,Tripura,,Uttar Pradesh,,Uttarakhand,,West Bengal,,Mobile Vans,,Duplicates,,Total,,Changes,
,,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private
,CBNAAT,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,6,0,0,2,5,1,0,0,0,2,0,1,0,2,8,2,9,0,0,0,0,0,1,6,13,0,0,0,1,0,0,0,0,0,1,1,0,2,4,0,0,0,0,1,8,6,2,0,0,1,7,1,0,1,4,0,0,2,-1,37,70,2,5
27/07/2020,RT-PCR,1,0,13,8,1,0,11,1,7,2,3,0,4,0,1,0,16,26,1,0,23,17,12,9,8,0,6,0,5,2,37,37,17,8,2,0,0,0,17,7,48,40,3,1,2,0,1,0,2,0,13,5,3,1,3,4,26,9,1,0,49,42,10,21,1,0,32,7,6,2,22,12,0,0,,,407,261,9,8
,TrueNat,2,0,48,0,9,0,2,5,36,1,0,1,8,2,0,0,3,2,4,0,9,1,3,1,14,0,16,2,25,0,7,2,8,10,0,0,3,0,56,3,21,6,4,0,9,0,1,0,12,0,27,1,0,1,16,0,0,2,1,0,8,10,0,1,0,0,86,17,12,0,17,2,0,0,,,467,70,10,11
,CBNAAT,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,6,0,0,2,6,1,0,0,0,2,0,1,0,0,8,2,10,0,0,0,0,0,1,5,12,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,0,0,0,1,9,6,2,0,0,1,8,1,0,0,5,0,0,,,31,74,-6,4
03/08/2020,RT-PCR,1,0,13,8,1,0,11,1,8,2,3,0,7,0,1,0,16,28,1,0,23,18,12,9,8,0,6,0,5,2,38,38,18,8,3,0,0,0,18,7,50,41,3,1,2,0,1,0,2,0,13,5,3,1,4,4,26,10,1,0,50,42,10,22,1,0,32,9,6,2,23,13,0,0,,,420,271,13,10
,TrueNat,1,0,49,1,9,0,2,7,36,1,0,1,6,2,0,0,3,5,4,0,9,1,4,2,14,0,16,2,25,0,6,7,7,13,0,0,3,0,57,3,21,6,4,2,9,0,1,0,12,0,27,1,0,1,16,0,0,2,1,0,9,14,0,1,0,0,86,19,12,0,16,2,0,0,,,465,93,-2,23
,CBNAAT,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,0,0,8,2,10,0,0,0,0,0,1,5,13,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,0,0,0,1,9,6,2,0,0,1,8,1,0,0,5,0,0,,,32,75,1,1
10/08/2020,RT-PCR,1,0,13,8,1,0,11,1,8,2,3,0,7,0,1,0,17,28,1,0,23,18,12,10,8,0,6,0,5,2,39,40,19,9,3,0,0,0,18,9,53,44,3,1,2,0,1,0,2,0,13,5,3,1,7,4,26,10,1,0,51,47,10,25,1,0,33,10,6,2,23,13,0,0,,,431,289,11,18
,TrueNat,1,0,54,1,11,0,2,8,36,1,0,1,6,2,0,0,3,5,4,0,9,1,4,2,14,0,16,2,25,0,6,7,6,15,0,0,3,0,57,3,19,6,4,2,9,0,1,0,12,0,28,1,0,1,24,0,0,3,1,0,9,14,0,1,0,0,86,23,12,0,19,4,0,0,,,481,103,16,10
,CBNAAT,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,0,0,9,2,12,0,0,0,0,0,1,5,15,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,0,0,0,1,9,6,2,0,0,1,7,1,0,0,5,0,0,,,32,79,0,4
17/08/2020,RT-PCR,1,0,13,8,1,0,11,1,9,2,3,0,7,0,1,0,17,29,1,0,23,18,12,11,8,0,6,0,6,4,41,41,22,9,3,0,0,0,19,9,53,45,3,1,2,0,1,0,2,0,13,5,3,2,7,4,26,10,1,0,51,51,11,28,1,0,43,11,6,2,23,14,0,0,,,450,305,19,16
,TrueNat,1,0,58,1,12,0,2,8,35,1,0,1,11,2,0,0,3,6,4,1,9,2,4,2,14,0,15,3,25,0,6,7,5,18,0,0,2,0,57,3,19,6,4,2,9,0,1,0,12,0,28,1,0,2,24,1,0,3,1,0,10,14,0,1,3,0,76,28,13,0,24,4,0,0,,,487,117,6,14
,CBNAAT,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,0,0,9,2,12,0,0,0,0,0,1,5,16,0,0,0,1,0,0,0,0,0,1,2,0,2,4,0,0,0,0,1,9,6,2,0,0,2,7,1,0,0,6,0,0,,,34,83,2,4
24/08/2020,RT-PCR,1,0,13,10,1,0,11,1,9,4,3,0,7,0,1,0,17,31,1,0,23,18,14,12,8,0,7,0,6,4,41,43,22,11,3,0,0,0,19,11,57,48,3,1,2,0,1,0,2,0,13,5,3,2,7,4,27,11,1,0,52,52,11,31,1,0,42,13,6,2,23,14,0,0,,,458,328,8,23
,TrueNat,1,0,61,1,12,0,2,9,35,1,0,1,11,3,0,0,3,6,5,1,9,2,3,2,15,0,14,3,25,0,6,9,6,20,0,0,2,0,57,2,18,6,4,2,9,0,1,0,12,0,28,1,0,2,25,1,0,3,1,0,10,16,0,1,3,0,77,30,13,0,26,4,0,0,,,494,126,7,9
,CBNAAT,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,9,2,12,0,0,0,0,0,1,5,16,0,0,0,1,0,0,0,0,0,1,2,0,2,4,0,0,0,0,1,10,6,2,0,0,2,6,1,0,0,6,0,0,,,34,84,0,1
31/08/2020,RT-PCR,1,0,13,12,1,0,11,1,9,4,3,0,7,0,1,0,17,31,1,0,23,20,14,12,8,0,8,0,7,4,43,47,23,13,3,0,0,0,19,11,57,52,3,1,2,0,1,0,2,0,13,5,3,2,7,4,27,12,1,0,52,58,11,33,1,0,43,15,6,2,23,14,0,0,,,464,353,6,25
,TrueNat,1,0,62,1,12,0,2,11,38,1,0,1,12,3,0,0,3,7,5,1,9,2,3,2,18,0,14,3,25,0,8,10,6,21,0,0,2,0,57,6,18,5,4,2,10,0,1,0,12,0,28,2,0,2,25,5,0,3,1,0,10,20,0,1,3,0,76,35,13,0,30,6,0,0,,,508,150,14,24
,CBNAAT,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,9,2,12,0,0,0,0,0,1,5,16,0,0,0,1,0,0,0,0,0,1,2,0,2,4,0,0,0,0,1,11,6,3,0,0,2,7,1,0,0,6,0,0,,,34,87,0,3
07/09/2020,RT-PCR,1,0,13,12,1,0,11,1,9,4,3,1,7,0,1,0,17,31,1,0,23,21,14,13,8,0,9,0,7,4,43,56,23,15,3,0,0,0,19,11,57,52,3,1,2,0,1,0,3,0,13,5,3,2,8,5,27,13,1,0,52,62,11,36,1,0,43,16,6,3,23,15,0,0,,,467,379,3,26
,TrueNat,2,0,63,1,12,0,3,11,38,1,0,0,17,3,0,0,3,7,5,1,9,2,3,2,21,0,13,3,25,0,8,10,7,26,0,0,2,0,57,7,19,6,4,2,10,0,10,0,11,0,28,2,0,2,25,4,0,3,1,0,11,26,0,1,3,0,76,37,13,0,35,9,0,0,,,534,166,26,16
,CBNAAT,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,9,2,11,0,0,0,0,0,1,5,16,0,1,0,1,0,0,0,0,0,1,2,0,2,4,0,0,0,0,1,11,6,3,0,0,2,8,1,0,0,6,0,0,,,34,88,0,1
14/09/2020,RT-PCR,1,0,13,14,1,0,12,1,10,4,3,1,7,2,1,0,17,32,1,0,23,21,14,13,8,0,9,0,7,5,43,61,23,16,3,0,0,0,19,11,58,55,3,1,2,0,1,0,3,0,13,6,3,2,8,6,27,13,1,0,53,65,11,39,2,0,43,16,6,3,23,16,0,0,,,472,403,5,24
