Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
12/04/2021,Uttar Pradesh,8016090,1343474,9359564
12/04/2021,Uttarakhand,1171271,190795,1362066
12/04/2021,West Bengal,7242839,983187,8226026
12/04/2021,Miscellaneous,1598441,1077431,2675872
12/04/2021,Total,95043039,13490046,108533085
13/04/2021,Andaman and Nicobar Islands,43069,5832,48901
13/04/2021,Andhra Pradesh,3383763,534766,3918529
13/04/2021,Arunachal Pradesh,118869,33024,151893
13/04/2021,Assam,1274783,275330,1550113
13/04/2021,Bihar,4457751,592537,5050288
13/04/2021,Chandigarh,106138,20711,126849
13/04/2021,Chhattisgarh,4122287,438231,4560518
13/04/2021,Dadra and Nagar Haveli and Daman and Diu,66368,9697,76065
13/04/2021,Delhi,1912085,392901,2304986
13/04/2021,Goa,158199,34357,192556
13/04/2021,Gujarat,8502799,1202500,9705299
13/04/2021,Haryana,2422551,236228,2658779
13/04/2021,Himachal Pradesh,996917,114950,1111867
13/04/2021,Jammu and Kashmir,1217868,202931,1420799
13/04/2021,Jharkhand,2197836,308842,2506678
13/04/2021,Karnataka,5848203,598274,6446477
13/04/2021,Kerala,4714426,553106,5267532
13/04/2021,Ladakh,66540,8779,75319
13/04/2021,Lakshadweep,11852,2719,14571
13/04/2021,Madhya Pradesh,5903109,658277,6561386
13/04/2021,Maharashtra,9718039,1035908,10753947
13/04/2021,Manipur,94174,45804,139978
13/04/2021,Meghalaya,112648,40207,152855
13/04/2021,Mizoram,87337,25769,113106
13/04/2021,Nagaland,92503,28351,120854
13/04/2021,Odisha,3922145,522096,4444241
13/04/2021,Puducherry,118439,10832,129271
13/04/2021,Punjab,1836443,166494,2002937
13/04/2021,Rajasthan,8886496,1194436,10080932
13/04/2021,Sikkim,119163,16498,135661
13/04/2021,Tamil Nadu,3567442,453618,4021060
13/04/2021,Telangana,2007123,311169,2318292
13/04/2021,Tripura,744971,97426,842397
13/04/2021,Uttar Pradesh,8331287,1388612,9719899
13/04/2021,Uttarakhand,1205293,197902,1403195
13/04/2021,West Bengal,7328568,1017185,8345753
13/04/2021,Miscellaneous,1604430,1101365,2705795
13/04/2021,Total,97301914,13877664,111179578
14/04/2021,Andaman and Nicobar Islands,49657,5941,55598
14/04/2021,Andhra Pradesh,3977725,585348,4563073
14/04/2021,Arunachal Pradesh,124509,33702,158211
14/04/2021,Assam,1276967,276936,1553903
14/04/2021,Bihar,4610622,617258,5227880
14/04/2021,Chandigarh,108803,21577,130380
14/04/2021,Chhattisgarh,4186976,447798,4634774
14/04/2021,Dadra and Nagar Haveli and Daman and Diu,67859,10001,77860
14/04/2021,Delhi,1971296,405718,2377014
14/04/2021,Goa,167525,35698,203223
14/04/2021,Gujarat,8623246,1244295,9867541
14/04/2021,Haryana,2544910,260930,2805840
14/04/2021,Himachal Pradesh,1039728,118201,1157929
14/04/2021,Jammu and Kashmir,1245958,206806,1452764
14/04/2021,Jharkhand,2280764,315881,2596645
14/04/2021,Karnataka,5935232,615192,6550424
14/04/2021,Kerala,4730171,557313,5287484
14/04/2021,Ladakh,66813,9092,75905
14/04/2021,Lakshadweep,12503,2805,15308
14/04/2021,Madhya Pradesh,6205422,684723,6890145
14/04/2021,Maharashtra,10039359,1086075,11125434
14/04/2021,Manipur,96396,46535,142931
14/04/2021,Meghalaya,116428,41065,157493
14/04/2021,Mizoram,94675,28385,123060
14/04/2021,Nagaland,98959,29173,128132
14/04/2021,Odisha,3993009,534902,4527911
14/04/2021,Puducherry,127079,11074,138153
14/04/2021,Punjab,1907757,172921,2080678
14/04/2021,Rajasthan,8997044,1227535,10224579
14/04/2021,Sikkim,124532,17245,141777
14/04/2021,Tamil Nadu,3641255,469197,4110452
14/04/2021,Telangana,2129830,323126,2452956
14/04/2021,Tripura,747029,98200,845229
14/04/2021,Uttar Pradesh,8606878,1421961,10028839
14/04/2021,Uttarakhand,1228455,203622,1432077
14/04/2021,West Bengal,7398835,1044502,8443337
14/04/2021,Miscellaneous,1604993,1103306,2708299
14/04/2021,Total,100179199,14314039,114493238
15/04/2021,Andaman and Nicobar Islands,54819,6079,60898
15/04/2021,Andhra Pradesh,4004003,593574,4597577
15/04/2021,Arunachal Pradesh,127072,34211,161283
15/04/2021,Assam,1277867,277594,1555461
15/04/2021,Bihar,4717948,638186,5356134
15/04/2021,Chandigarh,111665,22898,134563
15/04/2021,Chhattisgarh,4224216,456370,4680586
15/04/2021,Dadra and Nagar Haveli and Daman and Diu,69063,10376,79439
15/04/2021,Delhi,2032057,422908,2454965
15/04/2021,Goa,173929,39213,213142
15/04/2021,Gujarat,8730225,1298617,10028842
15/04/2021,Haryana,2597444,277821,2875265
15/04/2021,Himachal Pradesh,1070591,121952,1192543
15/04/2021,Jammu and Kashmir,1285932,214761,1500693
15/04/2021,Jharkhand,2318659,322587,2641246
15/04/2021,Karnataka,6061565,643466,6705031
15/04/2021,Kerala,4899857,597159,5497016
15/04/2021,Ladakh,66918,9554,76472
15/04/2021,Lakshadweep,13243,2901,16144
15/04/2021,Madhya Pradesh,6350073,708665,7058738
15/04/2021,Maharashtra,10357897,1154831,11512728
15/04/2021,Manipur,97793,47697,145490
15/04/2021,Meghalaya,120725,42546,163271
15/04/2021,Mizoram,105266,30317,135583
15/04/2021,Nagaland,102972,30077,133049
15/04/2021,Odisha,4121043,564788,4685831
15/04/2021,Puducherry,136469,11920,148389
15/04/2021,Punjab,1982703,183348,2166051
15/04/2021,Rajasthan,9095197,1265134,10360331
15/04/2021,Sikkim,130118,18437,148555
15/04/2021,Tamil Nadu,3808634,515120,4323754
15/04/2021,Telangana,2283977,338539,2622516
15/04/2021,Tripura,747072,98224,845296
15/04/2021,Uttar Pradesh,8791482,1482514,10273996
15/04/2021,Uttarakhand,1254098,212872,1466970
15/04/2021,West Bengal,7415397,1053441,8468838
15/04/2021,Miscellaneous,1611266,1125557,2736823
15/04/2021,Total,102349255,14874254,117223509
16/04/2021,Andaman and Nicobar Islands,61411,6323,67734
16/04/2021,Andhra Pradesh,4007551,596253,4603804
16/04/2021,Arunachal Pradesh,130828,35887,166715
16/04/2021,Assam,1283012,281478,1564490
16/04/2021,Bihar,4776572,651465,5428037
16/04/2021,Chandigarh,114800,24346,139146
16/04/2021,Chhattisgarh,4280491,469569,4750060
16/04/2021,Dadra and Nagar Haveli and Daman and Diu,70628,10848,81476
16/04/2021,Delhi,2065707,438387,2504094
16/04/2021,Goa,182592,42392,224984
16/04/2021,Gujarat,8814503,1351100,10165603
16/04/2021,Haryana,2658282,299528,2957810
16/04/2021,Himachal Pradesh,1112734,128855,1241589
16/04/2021,Jammu and Kashmir,1322237,222437,1544674
16/04/2021,Jharkhand,2351741,330299,2682040
16/04/2021,Karnataka,6226678,683721,6910399
16/04/2021,Kerala,5042561,639411,5681972
16/04/2021,Ladakh,67005,9963,76968
16/04/2021,Lakshadweep,13655,2931,16586
16/04/2021,Madhya Pradesh,6392966,722771,7115737
16/04/2021,Maharashtra,10659857,1227002,11886859
16/04/2021,Manipur,99928,48707,148635
16/04/2021,Meghalaya,124096,43457,167553
16/04/2021,Mizoram,117031,31042,148073
16/04/2021,Nagaland,107194,30445,137639
16/04/2021,Odisha,4207944,587076,4795020
16/04/2021,Puducherry,144659,12835,157494
16/04/2021,Punjab,2067068,194556,2261624
16/04/2021,Rajasthan,9207156,1316216,10523372
16/04/2021,Sikkim,135545,19751,155296
16/04/2021,Tamil Nadu,3969605,562878,4532483
16/04/2021,Telangana,2447944,354480,2802424
16/04/2021,Tripura,756499,106159,862658
16/04/2021,Uttar Pradesh,8978586,1560116,10538702
16/04/2021,Uttarakhand,1291499,227568,1519067
16/04/2021,West Bengal,7499557,1109748,8609305
16/04/2021,Miscellaneous,1618362,1149157,2767519
16/04/2021,Total,104408484,15529157,119937641
17/04/2021,Andaman and Nicobar Islands,67540,6568,74108
17/04/2021,Andhra Pradesh,4010028,597947,4607975
17/04/2021,Arunachal Pradesh,134090,36852,170942
17/04/2021,Assam,1295693,290745,1586438
17/04/2021,Bihar,4896516,682953,5579469
17/04/2021,Chandigarh,117734,25520,143254
17/04/2021,Chhattisgarh,4377025,493552,4870577
17/04/2021,Dadra and Nagar Haveli and Daman and Diu,71964,11179,83143
17/04/2021,Delhi,2121119,451598,2572717
17/04/2021,Goa,191878,45278,237156
17/04/2021,Gujarat,8921816,1415632,10337448
17/04/2021,Haryana,2706400,316552,3022952
17/04/2021,Himachal Pradesh,1143734,134355,1278089
17/04/2021,Jammu and Kashmir,1358847,230405,1589252
17/04/2021,Jharkhand,2394315,339902,2734217
17/04/2021,Karnataka,6449748,742880,7192628
17/04/2021,Kerala,5158593,673960,5832553
17/04/2021,Ladakh,67157,10662,77819
17/04/2021,Lakshadweep,14259,2992,17251
17/04/2021,Madhya Pradesh,6548033,757281,7305314
17/04/2021,Maharashtra,10850268,1289185,12139453
17/04/2021,Manipur,102125,50010,152135
17/04/2021,Meghalaya,125525,43950,169475
17/04/2021,Mizoram,122337,31701,154038
17/04/2021,Nagaland,108524,30527,139051
17/04/2021,Odisha,4262088,603177,4865265
17/04/2021,Puducherry,150083,13683,163766
17/04/2021,Punjab,2145957,206561,2352518
17/04/2021,Rajasthan,9332463,1366308,10698771
17/04/2021,Sikkim,139394,20729,160123
17/04/2021,Tamil Nadu,4064944,605837,4670781
17/04/2021,Telangana,2585616,367294,2952910
17/04/2021,Tripura,766319,114048,880367
17/04/2021,Uttar Pradesh,9102697,1610042,10712739
17/04/2021,Uttarakhand,1324657,240780,1565437
17/04/2021,West Bengal,7577349,1162724,8740073
17/04/2021,Miscellaneous,1624241,1168145,2792386
17/04/2021,Total,106431076,16191514,122622590
18/04/2021,Andaman and Nicobar Islands,71357,6879,78236
18/04/2021,Andhra Pradesh,4013148,599876,4613024
18/04/2021,Arunachal Pradesh,135397,37272,172669
18/04/2021,Assam,1303062,294473,1597535
18/04/2021,Bihar,4985475,702078,5687553
18/04/2021,Chandigarh,119500,26100,145600
18/04/2021,Chhattisgarh,4449075,508082,4957157
18/04/2021,Dadra and Nagar Haveli and Daman and Diu,72365,11314,83679
18/04/2021,Delhi,2162311,458984,2621295
18/04/2021,Goa,198368,46209,244577
18/04/2021,Gujarat,8992115,1459131,10451246
18/04/2021,Haryana,2740753,325563,3066316
18/04/2021,Himachal Pradesh,1153057,136443,1289500
18/04/2021,Jammu and Kashmir,1386613,235537,1622150
18/04/2021,Jharkhand,2427168,348265,2775433
18/04/2021,Karnataka,6532579,764192,7296771
18/04/2021,Kerala,5189796,680436,5870232
18/04/2021,Ladakh,67185,10672,77857
18/04/2021,Lakshadweep,15125,3099,18224
18/04/2021,Madhya Pradesh,6566455,763446,7329901
18/04/2021,Maharashtra,10959587,1314386,12273973
18/04/2021,Manipur,102997,50127,153124
18/04/2021,Meghalaya,125611,43967,169578
18/04/2021,Mizoram,122419,31764,154183
18/04/2021,Nagaland,109570,30536,140106
18/04/2021,Odisha,4311575,618792,4930367
18/04/2021,Puducherry,151684,13963,165647
18/04/2021,Punjab,2205090,213042,2418132
18/04/2021,Rajasthan,9459005,1425801,10884806
18/04/2021,Sikkim,140119,20939,161058
18/04/2021,Tamil Nadu,4091849,620052,4711901
18/04/2021,Telangana,2591197,369108,2960305
18/04/2021,Tripura,769529,116602,886131
18/04/2021,Uttar Pradesh,9106356,1612019,10718375
18/04/2021,Uttarakhand,1326582,241590,1568172
18/04/2021,West Bengal,7593079,1171094,8764173
18/04/2021,Miscellaneous,1624617,1168963,2793580
18/04/2021,Total,107371770,16480796,123852566
19/04/2021,Andaman and Nicobar Islands,75722,7363,83085
19/04/2021,Andhra Pradesh,4140857,616127,4756984
19/04/2021,Arunachal Pradesh,140794,39493,180287
19/04/2021,Assam,1352132,325637,1677769
19/04/2021,Bihar,5100351,737776,5838127
19/04/2021,Chandigarh,122192,27795,149987
19/04/2021,Chhattisgarh,4517261,526449,5043710
19/04/2021,Dadra and Nagar Haveli and Daman and Diu,73240,11705,84945
19/04/2021,Delhi,2202789,479376,2682165
19/04/2021,Goa,204861,48923,253784
19/04/2021,Gujarat,9083441,1537391,10620832
19/04/2021,Haryana,2805495,357518,3163013
19/04/2021,Himachal Pradesh,1184947,143716,1328663
19/04/2021,Jammu and Kashmir,1439629,248768,1688397
19/04/2021,Jharkhand,2449355,358538,2807893
19/04/2021,Karnataka,6711272,832053,7543325
19/04/2021,Kerala,5299366,727439,6026805
19/04/2021,Ladakh,67732,12863,80595
19/04/2021,Lakshadweep,15339,3143,18482
19/04/2021,Madhya Pradesh,6701986,805465,7507451
19/04/2021,Maharashtra,11240723,1409543,12650266
19/04/2021,Manipur,106512,51199,157711
19/04/2021,Meghalaya,129154,45559,174713
19/04/2021,Mizoram,131788,33045,164833
19/04/2021,Nagaland,117084,31597,148681
19/04/2021,Odisha,4413360,659405,5072765
19/04/2021,Puducherry,153652,15020,168672
19/04/2021,Punjab,2280439,227634,2508073
19/04/2021,Rajasthan,9660969,1531150,11192119
19/04/2021,Sikkim,143952,22657,166609
19/04/2021,Tamil Nadu,4147880,666782,4814662
19/04/2021,Telangana,2742190,390557,3132747
19/04/2021,Tripura,780220,130126,910346
19/04/2021,Uttar Pradesh,9225108,1684657,10909765
19/04/2021,Uttarakhand,1366829,261362,1628191
19/04/2021,West Bengal,7701573,1275170,8976743
19/04/2021,Miscellaneous,1628987,1186931,2815918
19/04/2021,Total,109659181,17469932,127129113
20/04/2021,Andaman and Nicobar Islands,78989,7937,86926
20/04/2021,Andhra Pradesh,4234813,692923,4927736
20/04/2021,Arunachal Pradesh,145144,40927,186071
20/04/2021,Assam,1416049,355511,1771560
20/04/2021,Bihar,5196802,768873,5965675
20/04/2021,Chandigarh,124937,29647,154584
20/04/2021,Chhattisgarh,4561972,540980,5102952
20/04/2021,Dadra and Nagar Haveli and Daman and Diu,74293,12102,86395
20/04/2021,Delhi,2238274,494248,2732522
20/04/2021,Goa,212256,52107,264363
20/04/2021,Gujarat,9181707,1625731,10807438
20/04/2021,Haryana,2859343,383115,3242458
20/04/2021,Himachal Pradesh,1225881,152805,1378686
20/04/2021,Jammu and Kashmir,1492606,260671,1753277
20/04/2021,Jharkhand,2477789,371236,2849025
20/04/2021,Karnataka,6871674,897320,7768994
20/04/2021,Kerala,5443585,800248,6243833
20/04/2021,Ladakh,68954,15683,84637
20/04/2021,Lakshadweep,15724,3287,19011
20/04/2021,Madhya Pradesh,6725635,817314,7542949
20/04/2021,Maharashtra,11447503,1497497,12945000
20/04/2021,Manipur,109889,52228,162117
20/04/2021,Meghalaya,133700,46932,180632
20/04/2021,Mizoram,139761,34618,174379
20/04/2021,Nagaland,122615,32580,155195
20/04/2021,Odisha,4499013,695368,5194381
20/04/2021,Puducherry,154986,15824,170810
20/04/2021,Punjab,2352746,242274,2595020
20/04/2021,Rajasthan,9828519,1622618,11451137
20/04/2021,Sikkim,146886,24256,171142
20/04/2021,Tamil Nadu,4187801,704687,4892488
20/04/2021,Telangana,2862110,410879,3272989
20/04/2021,Tripura,791007,143008,934015
20/04/2021,Uttar Pradesh,9356397,1764383,11120780
20/04/2021,Uttarakhand,1400682,277957,1678639
20/04/2021,West Bengal,7831331,1379825,9211156
20/04/2021,Miscellaneous,1634519,1205819,2840338
20/04/2021,Total,111645892,18473418,130119310
21/04/2021,Andaman and Nicobar Islands,80901,8171,89072
21/04/2021,Andhra Pradesh,4257224,711280,4968504
21/04/2021,Arunachal Pradesh,148714,41786,190500
21/04/2021,Assam,1455272,370040,1825312
21/04/2021,Bihar,5265752,792059,6057811
21/04/2021,Chandigarh,127635,30930,158565
21/04/2021,Chhattisgarh,4594206,552504,5146710
21/04/2021,Dadra and Nagar Haveli and Daman and Diu,74768,12311,87079
21/04/2021,Delhi,2277806,509326,2787132
21/04/2021,Goa,218280,54563,272843
21/04/2021,Gujarat,9251289,1687135,10938424
21/04/2021,Haryana,2890506,397355,3287861
21/04/2021,Himachal Pradesh,1244661,156186,1400847
21/04/2021,Jammu and Kashmir,1533009,268462,1801471
21/04/2021,Jharkhand,2496799,380775,2877574
21/04/2021,Karnataka,7005121,953124,7958245
21/04/2021,Kerala,5512420,841334,6353754
21/04/2021,Ladakh,70012,18441,88453
21/04/2021,Lakshadweep,16259,3527,19786
21/04/2021,Madhya Pradesh,6737936,828447,7566383
21/04/2021,Maharashtra,11692299,1587671,13279970
21/04/2021,Manipur,114375,53179,167554
21/04/2021,Meghalaya,137351,47888,185239
21/04/2021,Mizoram,144527,36302,180829
21/04/2021,Nagaland,128949,33469,162418
21/04/2021,Odisha,4579807,726445,5306252
21/04/2021,Puducherry,156991,16778,173769
21/04/2021,Punjab,2403661,254430,2658091
21/04/2021,Rajasthan,9952757,1697544,11650301
21/04/2021,Sikkim,147787,24678,172465
21/04/2021,Tamil Nadu,4223499,742450,4965949
21/04/2021,Telangana,2965900,429225,3395125
21/04/2021,Tripura,794923,146775,941698
21/04/2021,Uttar Pradesh,9450086,1809660,11259746
21/04/2021,Uttarakhand,1426520,289319,1715839
21/04/2021,West Bengal,7934485,1461792,9396277
21/04/2021,Miscellaneous,1635109,1207687,2842796
21/04/2021,Total,113147596,19183048,132330644
22/04/2021,Andaman and Nicobar Islands,83377,8600,91977
22/04/2021,Andhra Pradesh,4337751,992329,5330080
22/04/2021,Arunachal Pradesh,154057,43521,197578
22/04/2021,Assam,1510540,390299,1900839
22/04/2021,Bihar,5345938,825555,6171493
22/04/2021,Chandigarh,130884,32988,163872
22/04/2021,Chhattisgarh,4643298,569966,5213264
22/04/2021,Dadra and Nagar Haveli and Daman and Diu,75414,12677,88091
22/04/2021,Delhi,2326052,529698,2855750
22/04/2021,Goa,224566,56863,281429
22/04/2021,Gujarat,9329491,1770095,11099586
22/04/2021,Haryana,2929178,416237,3345415
22/04/2021,Himachal Pradesh,1286023,165347,1451370
22/04/2021,Jammu and Kashmir,1577017,279978,1856995
22/04/2021,Jharkhand,2512175,389844,2902019
22/04/2021,Karnataka,7159742,1031310,8191052
22/04/2021,Kerala,5603437,900680,6504117
22/04/2021,Ladakh,70599,20711,91310
22/04/2021,Lakshadweep,16567,3639,20206
22/04/2021,Madhya Pradesh,6851566,886903,7738469
22/04/2021,Maharashtra,11967170,1707979,13675149
22/04/2021,Manipur,117491,54294,171785
22/04/2021,Meghalaya,144942,49834,194776
22/04/2021,Mizoram,156092,38044,194136
22/04/2021,Nagaland,134903,34316,169219
22/04/2021,Odisha,4645662,753671,5399333
22/04/2021,Puducherry,158747,17811,176558
22/04/2021,Punjab,2449142,266337,2715479
22/04/2021,Rajasthan,10069713,1766615,11836328
22/04/2021,Sikkim,149884,27276,177160
22/04/2021,Tamil Nadu,4269535,807443,5076978
22/04/2021,Telangana,3150499,456422,3606921
22/04/2021,Tripura,799805,153939,953744
22/04/2021,Uttar Pradesh,9564334,1877394,11441728
22/04/2021,Uttarakhand,1461335,306216,1767551
22/04/2021,West Bengal,8024983,1533949,9558932
22/04/2021,Miscellaneous,1641554,1226177,2867731
22/04/2021,Total,115073463,20404957,135478420
23/04/2021,Andaman and Nicobar Islands,85201,8965,94166
23/04/2021,Andhra Pradesh,4464815,1090199,5555014
23/04/2021,Arunachal Pradesh,159197,45345,204542
23/04/2021,Assam,1557736,404015,1961751
23/04/2021,Bihar,5416621,855125,6271746
23/04/2021,Chandigarh,134396,35042,169438
23/04/2021,Chhattisgarh,4686345,586677,5273022
23/04/2021,Dadra and Nagar Haveli and Daman and Diu,76124,13062,89186
23/04/2021,Delhi,2347478,544522,2892000
23/04/2021,Goa,230436,59251,289687
23/04/2021,Gujarat,9412482,1854012,11266494
23/04/2021,Haryana,2984321,446236,3430557
23/04/2021,Himachal Pradesh,1322733,175221,1497954
23/04/2021,Jammu and Kashmir,1632676,292340,1925016
23/04/2021,Jharkhand,2533003,402509,2935512
23/04/2021,Karnataka,7334507,1112415,8446922
23/04/2021,Kerala,5673951,954462,6628413
23/04/2021,Ladakh,71353,22963,94316
23/04/2021,Lakshadweep,16836,3711,20547
23/04/2021,Madhya Pradesh,6871944,902404,7774348
23/04/2021,Maharashtra,12184898,1815094,13999992
23/04/2021,Manipur,119445,54818,174263
23/04/2021,Meghalaya,152090,51281,203371
23/04/2021,Mizoram,166665,39526,206191
23/04/2021,Nagaland,136697,34908,171605
23/04/2021,Odisha,4721327,788530,5509857
23/04/2021,Puducherry,160538,18981,179519
23/04/2021,Punjab,2526537,285717,2812254
23/04/2021,Rajasthan,10178267,1831977,12010244
23/04/2021,Sikkim,152278,30343,182621
23/04/2021,Tamil Nadu,4323789,883047,5206836
23/04/2021,Telangana,3332794,479398,3812192
23/04/2021,Tripura,811546,173718,985264
23/04/2021,Uttar Pradesh,9679894,1943801,11623695
23/04/2021,Uttarakhand,1491031,319350,1810381
23/04/2021,West Bengal,8139618,1641308,9780926
23/04/2021,Miscellaneous,1646918,1243072,2889990
23/04/2021,Total,116936487,21443345,138379832
24/04/2021,Andaman and Nicobar Islands,86810,9299,96109
24/04/2021,Andhra Pradesh,4543673,1126695,5670368
24/04/2021,Arunachal Pradesh,162665,46515,209180
24/04/2021,Assam,1593261,412917,2006178
24/04/2021,Bihar,5480400,881886,6362286
24/04/2021,Chandigarh,137994,36727,174721
24/04/2021,Chhattisgarh,4721481,602963,5324444
24/04/2021,Dadra and Nagar Haveli and Daman and Diu,76716,13385,90101
24/04/2021,Delhi,2395943,566310,2962253
24/04/2021,Goa,237654,61584,299238
24/04/2021,Gujarat,9496008,1940771,11436779
24/04/2021,Haryana,3032843,470613,3503456
24/04/2021,Himachal Pradesh,1354901,182623,1537524
24/04/2021,Jammu and Kashmir,1692218,305623,1997841
24/04/2021,Jharkhand,2550919,414256,2965175
24/04/2021,Karnataka,7439084,1153774,8592858
24/04/2021,Kerala,5788558,1039192,6827750
24/04/2021,Ladakh,71714,24825,96539
24/04/2021,Lakshadweep,17300,3781,21081
24/04/2021,Madhya Pradesh,6942969,952623,7895592
24/04/2021,Maharashtra,12327006,1903207,14230213
24/04/2021,Manipur,124605,55774,180379
24/04/2021,Meghalaya,157665,51857,209522
24/04/2021,Mizoram,170791,40351,211142
24/04/2021,Nagaland,137230,35047,172277
24/04/2021,Odisha,4733735,793337,5527072
24/04/2021,Puducherry,161852,19867,181719
24/04/2021,Punjab,2617356,307645,2925001
24/04/2021,Rajasthan,10298573,1909319,12207892
24/04/2021,Sikkim,153579,31870,185449
24/04/2021,Tamil Nadu,4377101,951710,5328811
24/04/2021,Telangana,3500805,503820,4004625
24/04/2021,Tripura,820756,191495,1012251
24/04/2021,Uttar Pradesh,9779846,1997363,11777209
24/04/2021,Uttarakhand,1518489,332316,1850805
24/04/2021,West Bengal,8227260,1711451,9938711
24/04/2021,Miscellaneous,1650564,1253302,2903866
24/04/2021,Total,118580324,22336093,140916417
25/04/2021,Andaman and Nicobar Islands,87865,9527,97392
25/04/2021,Andhra Pradesh,4547958,1130670,5678628
25/04/2021,Arunachal Pradesh,163544,46801,210345
25/04/2021,Assam,1605276,415466,2020742
25/04/2021,Bihar,5534725,902757,6437482
25/04/2021,Chandigarh,140795,37860,178655
25/04/2021,Chhattisgarh,4746298,616149,5362447
25/04/2021,Dadra and Nagar Haveli and Daman and Diu,76905,13545,90450
25/04/2021,Delhi,2425355,578140,3003495
25/04/2021,Goa,241453,62556,304009
25/04/2021,Gujarat,9550111,1988252,11538363
25/04/2021,Haryana,3059744,480182,3539926
25/04/2021,Himachal Pradesh,1363254,185235,1548489
25/04/2021,Jammu and Kashmir,1731794,311992,2043786
25/04/2021,Jharkhand,2558664,419195,2977859
25/04/2021,Karnataka,7495249,1178345,8673594
25/04/2021,Kerala,5801268,1045794,6847062
25/04/2021,Ladakh,71734,25222,96956
25/04/2021,Lakshadweep,17492,3807,21299
25/04/2021,Madhya Pradesh,6949737,958928,7908665
25/04/2021,Maharashtra,12404727,1937989,14342716
25/04/2021,Manipur,126565,55981,182546
25/04/2021,Meghalaya,158278,51894,210172
25/04/2021,Mizoram,170859,40378,211237
25/04/2021,Nagaland,137580,35067,172647
25/04/2021,Odisha,4736047,794127,5530174
25/04/2021,Puducherry,162204,20098,182302
25/04/2021,Punjab,2676408,318959,2995367
25/04/2021,Rajasthan,10388447,1959506,12347953
25/04/2021,Sikkim,153939,31956,185895
25/04/2021,Tamil Nadu,4388488,962896,5351384
25/04/2021,Telangana,3559283,512340,4071623
25/04/2021,Tripura,824664,196271,1020935
25/04/2021,Uttar Pradesh,9783416,2000464,11783880
25/04/2021,Uttarakhand,1530925,337062,1867987
25/04/2021,West Bengal,8243729,1725523,9969252
25/04/2021,Miscellaneous,1651006,1254503,2905509
25/04/2021,Total,119265786,22645437,141911223
26/04/2021,Andaman and Nicobar Islands,89290,9819,99109
26/04/2021,Andhra Pradesh,4762101,1224721,5986822
26/04/2021,Arunachal Pradesh,168237,48709,216946
26/04/2021,Assam,1665104,440684,2105788
26/04/2021,Bihar,5615883,942931,6558814
26/04/2021,Chandigarh,144304,39947,184251
26/04/2021,Chhattisgarh,4772489,633858,5406347
26/04/2021,Dadra and Nagar Haveli and Daman and Diu,77374,14034,91408
26/04/2021,Delhi,2461953,599601,3061554
26/04/2021,Goa,248297,64730,313027
26/04/2021,Gujarat,9634479,2086790,11721269
26/04/2021,Haryana,3096121,498967,3595088
26/04/2021,Himachal Pradesh,1396592,196724,1593316
26/04/2021,Jammu and Kashmir,1799415,327649,2127064
26/04/2021,Jharkhand,2574795,430672,3005467
26/04/2021,Karnataka,7632148,1260560,8892708
26/04/2021,Kerala,5885342,1106058,6991400
26/04/2021,Ladakh,72754,28150,100904
26/04/2021,Lakshadweep,17863,3892,21755
26/04/2021,Madhya Pradesh,6988485,1003232,7991717
26/04/2021,Maharashtra,12768755,2137788,14906543
26/04/2021,Manipur,135061,57219,192280
26/04/2021,Meghalaya,171821,53693,225514
26/04/2021,Mizoram,181154,42285,223439
26/04/2021,Nagaland,141444,36752,178196
26/04/2021,Odisha,4791100,826957,5618057
26/04/2021,Puducherry,163559,21608,185167
26/04/2021,Punjab,2746960,339125,3086085
26/04/2021,Rajasthan,10508538,2034683,12543221
26/04/2021,Sikkim,155696,34257,189953
26/04/2021,Tamil Nadu,4440851,1043782,5484633
26/04/2021,Telangana,3745507,542345,4287852
26/04/2021,Tripura,840474,226827,1067301
26/04/2021,Uttar Pradesh,9883945,2063783,11947728
26/04/2021,Uttarakhand,1563590,354901,1918491
26/04/2021,West Bengal,8363952,1866546,10230498
26/04/2021,Miscellaneous,1655576,1265898,2921474
26/04/2021,Total,121361009,23910177,145271186
27/04/2021,Andaman and Nicobar Islands,90471,10117,100588
27/04/2021,Andhra Pradesh,4904196,1273778,6177974
27/04/2021,Arunachal Pradesh,172237,49922,222159
27/04/2021,Assam,1729878,464022,2193900
27/04/2021,Bihar,5687362,975544,6662906
27/04/2021,Chandigarh,148026,42015,190041
27/04/2021,Chhattisgarh,4791469,647236,5438705
27/04/2021,Dadra and Nagar Haveli and Daman and Diu,77814,14486,92300
27/04/2021,Delhi,2495694,619171,3114865
27/04/2021,Goa,256198,67029,323227
27/04/2021,Gujarat,9719163,2182679,11901842
27/04/2021,Haryana,3122892,512419,3635311
27/04/2021,Himachal Pradesh,1434423,210080,1644503
27/04/2021,Jammu and Kashmir,1848977,338553,2187530
27/04/2021,Jharkhand,2589163,439999,3029162
27/04/2021,Karnataka,7751009,1337464,9088473
27/04/2021,Kerala,5947415,1159657,7107072
27/04/2021,Ladakh,73508,30209,103717
27/04/2021,Lakshadweep,18018,3947,21965
27/04/2021,Madhya Pradesh,6996437,1013987,8010424
27/04/2021,Maharashtra,13031376,2290991,15322367
27/04/2021,Manipur,142665,58100,200765
27/04/2021,Meghalaya,187428,55167,242595
27/04/2021,Mizoram,191462,43697,235159
27/04/2021,Nagaland,145553,37650,183203
